Name,ApiName,IsCustom,Description,IngestedBy,PopulatedBy,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate,Owners,Stakeholders,IsFollowing,Definition,Notes,ManagedPackage,RawSalesforceId,SourceUrl
AI Application,AIApplication,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AIApplication/Details/view
AI Application config,AIApplicationConfig,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AIApplicationConfig/Details/view
AI Insight Action,AIInsightAction,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AIInsightAction/Details/view
AI Insight Feedback,AIInsightFeedback,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AIInsightFeedback/Details/view
AI Insight Reason,AIInsightReason,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AIInsightReason/Details/view
AI Insight Value,AIInsightValue,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AIInsightValue/Details/view
AI Prediction Event,AIPredictionEvent,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AIPredictionEvent/Details/view
AI Record Insight,AIRecordInsight,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AIRecordInsight/Details/view
AI Trust Attribute Setup,AITrustAttrSetup,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AITrustAttrSetup/Details/view
AI Trust Attribute,AITrustAttribute,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AITrustAttribute/Details/view
Accepted Event Relation,AcceptedEventRelation,False,,,,,,,,Billy Boydston,"Brad Smith, Jack Mcglinchey",False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AcceptedEventRelation/Details/view
Account,Account,False,,"Hubspot, Fivetran Data Loader, Salesforce Integration for Zendesk, Scratchpad, Qualified, Gong Integration App, UserGems, Maxio Platform Integration","Hubspot, Maxio",Captain Jack Sparrow,2024-06-03T19:43,Captain Jack Sparrow,2024-06-03T19:43,Brad Smith,,False,"The ""Account"" object in Salesforce represents a unique organization or individual that your company interacts with. It serves as a central entity for storing and managing information related to customers, partners, competitors, or any other external contacts relevant to your business. ",,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Account/Details/view
Account Contact Relationship,AccountContactRelation,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AccountContactRelation/Details/view
Account Contact Role,AccountContactRole,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AccountContactRole/Details/view
Account Feed,AccountFeed,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AccountFeed/Details/view
Account History,AccountHistory,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/AccountHistory/Details/view
